season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,1,1000,0,5,3,0,3,150,25,125,242
1,2,500,0,5,1,0,1,200,200,0,437
2,1,1000,1,5,2,0,1,400,0,0,418
2,2,1000,0,4,2,0,3,400,0,100,326
2,1,1000,0,5,2,0,3,300,100,150,173
2,1,1000,0,5,2,0,3,300,0,50,186
2,2,500,0,4,3,0,2,150,100,0,87
2,1,1000,1,5,1,0,3,50,0,100,275
2,1,1000,0,4,2,0,3,100,25,50,307
2,1,1000,0,4,2,0,3,100,0,75,317
1,2,1000,1,3,2,0,2,600,600,0,61
2,2,1000,0,5,2,0,3,150,100,25,199
2,2,500,0,5,2,0,3,125,0,150,188
2,2,1000,0,3,2,0,1,100,0,0,16
2,1,1000,0,4,3,0,3,125,0,25,358
2,1,500,0,5,3,0,3,100,50,150,243
2,1,500,0,4,3,0,3,50,100,100,359
2,0,1000,0,5,3,0,2,200,100,0,91
2,2,1000,0,4,3,0,3,50,50,125,343
1,1,1000,1,5,2,0,1,400,0,0,418
2,1,500,0,5,3,0,2,200,100,0,91
2,0,1000,0,5,3,0,2,300,50,0,84
2,1,500,0,5,2,0,3,50,75,150,203
2,1,1000,0,5,1,0,1,200,50,0,439
2,1,1000,1,5,2,0,2,400,50,0,40
2,1,1000,0,5,3,0,2,600,200,0,98
2,2,500,0,4,2,0,3,150,75,75,299
2,1,1000,0,5,3,0,3,400,100,50,241
1,0,500,0,5,2,0,1,150,0,0,18
1,1,500,1,3,2,0,2,100,100,0,22
1,1,1000,0,3,3,0,2,400,100,0,72
2,2,1000,0,5,3,0,2,200,400,0,105
2,1,500,0,5,2,0,3,75,25,100,203
2,2,500,0,5,3,0,3,50,100,200,234
1,0,500,1,5,2,0,2,300,100,0,58
1,1,1000,0,4,3,0,2,600,400,0,95
2,2,1000,0,4,3,0,3,125,50,50,340
1,0,500,0,5,1,0,1,200,100,0,445
2,0,1000,0,3,3,0,2,400,0,0,117
2,2,500,0,5,2,0,3,100,100,150,167
2,0,500,0,4,3,0,2,200,400,0,103
1,2,1000,0,4,3,0,2,200,200,0,90
1,0,1000,1,4,2,0,2,400,600,0,48
2,2,500,0,5,3,0,3,400,0,100,225
2,1,1000,1,4,2,0,2,25,15,0,69
1,0,1000,0,4,3,0,2,150,100,0,87
1,1,1000,0,5,3,0,2,600,0,0,124
2,2,500,0,5,2,0,3,100,25,25,199
2,2,500,1,4,1,0,3,125,0,50,403
2,1,1000,0,4,2,0,3,125,0,125,318
